marca,km,provincia,precio_usd,carroceria,antiguedad
Chery,110538,Buenos Aires (A.M.B.A.),7741.94,SUV,13
Peugeot,20000,Ciudad Autónoma Buenos Aires,3870.97,SUV,2
Volkswagen,60000,Ciudad Autónoma Buenos Aires,4516.13,Pickup,2
Volkswagen,61000,Buenos Aires (A.M.B.A.),26129.03,Pickup,2
Chevrolet,43000,Buenos Aires (A.M.B.A.),14838.71,Hatchback,6
Toyota,79500,Buenos Aires (A.M.B.A.),20000.0,Sedán,4
Volkswagen,87000,Corrientes,6129.03,Hatchback,14
Toyota,75000,Córdoba,28064.52,SUV,4
Citroën,187000,Santa Fe,6129.03,Hatchback,12
Honda,228000,Ciudad Autónoma Buenos Aires,4967.74,Hatchback,20
Volkswagen,20000,Ciudad Autónoma Buenos Aires,4516.13,Pickup,2
Volkswagen,144000,Buenos Aires (A.M.B.A.),7645.16,Hatchback,28
Volkswagen,23500,Ciudad Autónoma Buenos Aires,3225.81,Pickup,2
Volkswagen,187000,Santa Fe,6064.52,Minivan,17
DS,48500,Ciudad Autónoma Buenos Aires,29800.0,SUV,3
Nissan,73000,Córdoba,29677.42,Pickup,3
Toyota,175000,Buenos Aires (A.M.B.A.),12500.0,SUV,16
Chevrolet,218000,Buenos Aires (A.M.B.A.),7806.45,Sedán,11
Chevrolet,175000,Buenos Aires (A.M.B.A.),6451.61,Pickup,15
Volkswagen,187000,Santa Fe,8709.68,Sedán,13
Ford,178000,Buenos Aires (A.M.B.A.),5935.48,Sedán,16
Volkswagen,136000,Santa Fe,10129.03,Hatchback,9
Toyota,87200,Buenos Aires (A.M.B.A.),16645.16,Sedán,2
Honda,79000,Buenos Aires,25000.0,SUV,2
Citroën,187000,Santa Fe,5935.48,Hatchback,12
Toyota,22500,Buenos Aires,48387.1,Pickup,1
FIAT,200400,Ciudad Autónoma Buenos Aires,7741.94,Pickup,9
Peugeot,40000,Ciudad Autónoma Buenos Aires,15200.0,Hatchback,7
Chevrolet,73000,Buenos Aires (A.M.B.A.),10967.74,Hatchback,8
Nissan,86000,Ciudad Autónoma Buenos Aires,10000.0,Sedán,10
Volkswagen,93000,Buenos Aires,10322.58,Hatchback,8
Ford,90000,Buenos Aires (A.M.B.A.),19300.0,Pickup,4
