marca,modelo,anio,km,precio,moneda,ciudad,provincia
Volkswagen,Amarok,2024,23500,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Duster,2022,45000,5000000.0,ARS,Puerto Madero,Ciudad Autónoma Buenos Aires
FIAT,Cronos,2023,25700,23000000.0,ARS,Paternal,Ciudad Autónoma Buenos Aires
Volkswagen,Polo 5P,2023,35000,5000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,24999,6999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Toyota,SW4,2024,38000,78000000.0,ARS,Córdoba,Córdoba
Volkswagen,Polo 5P,2024,24000,3999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Taos,2021,76400,34900000.0,ARS,Belgrano,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,25000,10000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Nissan,March,2019,78000,17000000.0,ARS,La Plata,Buenos Aires
Volkswagen,Amarok,2024,20999,4499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Duster,2018,112000,19900000.0,ARS,Córdoba,Córdoba
Peugeot,208,2025,50000,26000000.0,ARS,La Plata,Buenos Aires
Volkswagen,Amarok,2024,20000,5499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Renault,Fluence,2016,104000,9000000.0,ARS,Río Cuarto,Córdoba
Suzuki,Vitara,1992,245000,10200.0,USD,Córdoba,Córdoba
Citroën,C4,2013,117000,13000000.0,ARS,La Plata,Buenos Aires
FIAT,Fiorino,2014,170000,10400000.0,ARS,Ituzaingo,Buenos Aires (A.M.B.A.)
Nissan,Frontier,2024,60000,37000000.0,ARS,Merlo,Buenos Aires (A.M.B.A.)
Volkswagen,Amarok,2024,2024,4999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
BAIC,X35,2023,33000,30000000.0,ARS,La Plata,Buenos Aires
Volkswagen,Amarok,2024,80000,5999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Chery,Tiggo,2013,110538,12000000.0,ARS,Ramos Mejia,Buenos Aires (A.M.B.A.)
Peugeot,2008,2024,20000,6000000.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,60000,6999999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
FIAT,Mobi,2024,15000,1499999.0,ARS,Flores,Ciudad Autónoma Buenos Aires
Volkswagen,Amarok,2024,61000,40500000.0,ARS,Pilar,Buenos Aires (A.M.B.A.)
Chevrolet,Cruze 5,2020,43000,23000000.0,ARS,City Bell,Buenos Aires (A.M.B.A.)
Toyota,Corolla,2022,79500,31000000.0,ARS,Ezpeleta Oeste,Buenos Aires (A.M.B.A.)
Volkswagen,Gol,2012,87000,9500000.0,ARS,Corrientes,Corrientes
Toyota,Corolla Cross Hybrid,2022,75000,43500000.0,ARS,Córdoba,Córdoba
Chevrolet,Prisma,2015,21000,1100000.0,ARS,La Plata,Buenos Aires
